date,platform,agenda,topic,persona,mentions,engagement,sentiment,source,title,url,notes
2026-05-27,官网/新闻稿,BGlobal新品发布,智能硬件,官方/主办方,1,,,BEYOND EXPO 官网,iFLYTEK to Launch AI Glasses at BEYOND Expo 2026,https://www.beyondexpo.com/2026/05/27/iflytek-to-launch-ai-glasses-at-beyond-expo-2026/,公开官网稿，可核验；未公开平台互动量和情绪口径。
2026-05-27,官网/新闻稿,BGlobal新品发布,智能硬件,官方/主办方,1,,,BEYOND EXPO 官网,BGlobal New Product Launch: 11 Top Tech Companies to Debut Next-Generation Innovations,https://www.beyondexpo.com/2026/05/27/bglobal-new-product-launch-11-top-tech-companies-to-debut-next-generation-innovations-to-the-world-at-beyond-expo-2026/,公开官网稿，可核验；说明 BGlobal 新品发布阵容，未公开互动量。
2026-05-27,微信,展区开放,国际合作,参展商,1,,,关于横琴,横琴科技企业组团赴澳!亮相 BEYOND Expo 2026,,"搜狗微信搜索第 8 页结果；原文直链未稳定解析，点击“搜索线索”按标题回搜。摘要：横琴近 40 家本土科技企业、科研机构,组团奔赴澳门,参加第六届 BEYOND 国际科技创新博览会(BEYOND Expo 2026).作为粤..."
2026-05-27,微信,展区开放,机器人,参展商,1,,,人形机器人孵化器,邀请函| 2026澳门BEYOND EXPO2026 -上海市人形机器人创新孵化器专区,,搜狗微信搜索第 6 页结果；原文直链未稳定解析，点击“搜索线索”按标题回搜。
2026-05-27,微信,展区开放,AI,参展商,1,,,邵志敏观察,BEYOND EXPO前瞻:AI不止在屏幕里,,"搜狗微信搜索第 10 页结果；原文直链未稳定解析，点击“搜索线索”按标题回搜。摘要：今天是 BEYOND Expo 2026 开展前夕的媒体日活动,提前看到了一些创新科技产品.现场很有意思,很多产品就是一个个正在走向真..."
2026-05-27,微信,展区开放,国际合作,参展商,1,,,深圳模力营AI生态社区,"模力舞台 | 集结20+新锐企业力量,亮相澳门 BEYOND Expo 2026",,"搜狗微信搜索第 9 页结果；原文直链未稳定解析，点击“搜索线索”按标题回搜。摘要：2026年5月27日至30日,亚洲最大的科技创新和生态博览会 BEYOND Expo 2026于澳门威尼斯人金光会展中心盛大启幕.本届大会以..."
2026-05-27,微信,Fund At First Pitch,投资路演,参展商,1,,,珠海先进集成电路研究院,"全攻略|数实共生风暴来袭!BEYOND Expo 2026终极通关指南,看这一篇就够了!",,"搜狗微信搜索第 4 页结果；原文直链未稳定解析，点击“搜索线索”按标题回搜。摘要：BEYOND Expo 2026 的现场,共同见证这些极具社会责任感、即将颠覆人类未来生活方式的硬核创新力量!极限速投这绝不是一场普..."
2026-05-27,微信,开幕式,国际合作,官方/主办方,1,,,BEYOND Expo,"聚焦AI从数字走向物理世界,BEYOND Expo 2026盛大开幕",,"搜狗微信搜索第 2 页结果；原文直链未稳定解析，点击“搜索线索”按标题回搜。摘要：BEYOND Expo 2026开幕式在澳门巴黎人酒店·巴黎人剧场举行,正式拉开大会帷幕.本届博览会以“AI:数实共生“为主题,聚焦人..."
2026-05-27,微信,展区开放,医疗健康,参展商,1,,,Peek膝关节,"中科医材参展 BEYOND Expo 2026|链接全球创新生态,共探未来医疗科技",,"搜狗微信搜索第 5 页结果；原文直链未稳定解析，点击“搜索线索”按标题回搜。摘要：BEYOND Expo 2026,于澳门威尼斯人金光会展 Hall A-C|SK-617 展台,与来自全球的科技企业、创业者、投资机构及产业伙伴共同参..."
2026-05-27,新闻/网站,开幕式,AI,媒体,1,,,澳門週報,AI數實共生 鏈接全球創新！BEYOND Expo 2026在澳門盛大啟幕,https://weeklymacao.com/detail/480,港澳本地媒体公开报道，可核验；页面显示阅读量但未纳入互动口径。
